курс,имя npc,название квеста,промпт для сцены
en_ru,Professor Rowan Pike,Составить план интервью,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Professor Rowan Pike,Защитить свою версию тайны,"casual watercolor style, language-learning quest scene, no people and no characters, a university seminar room with an empty discussion table, blank board, old city photos with no readable details, and research notebooks, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,Попросить простое лекарство,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,"Спросить, как принимать","casual watercolor style, language-learning quest scene, no people and no characters, a pharmacy counter with an unlabeled medicine box, a blank label area, and a magnifying glass for safe instructions, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,Описать симптомы,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,Сказать об аллергии или ограничении,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,Купить лекарство для другого человека,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Nora Finch,Обсудить странный рецепт,"casual watercolor style, language-learning quest scene, no people and no characters, a small neighborhood pharmacy counter with unlabeled medicine boxes, blank label reminders, and practical everyday items, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,Записаться на приём,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,Описать боль или самочувствие,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,"Ответить про сон, еду и температуру","casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,"Рассказать, когда всё началось","casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,Обсудить рекомендации врача,"casual watercolor style, language-learning quest scene, no people and no characters, a small clinic room with an appointment desk, examination chair, stethoscope, blank forms, and safe everyday medical setting, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Dr. Elias Stone,Заметить связь между жалобами жителей,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet clinic desk with several blank patient folders arranged like a pattern, soft light, and a thoughtful observation mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,Понять простое предупреждение,"casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,Спросить время и дорогу,"casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,Выслушать рассказ о потерянном дне,"casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,Описать старую фотографию,"casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,Обсудить воспоминание и чувства,"casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Mr. Bell,"Помочь решить, что делать дальше","casual watercolor style, language-learning quest scene, no people and no characters, an old town square clock with no readable numbers, wet stone steps, bench, and calm mildly odd evening atmosphere, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,"Ответить, кого или что видел на улице","casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,Описать место,"casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,Объяснить маршрут по подсказкам,"casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,Сравнить две версии событий,"casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,Предположить мотив,"casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Iris Lane,Обсудить финальный поворот,"casual watercolor style, language-learning quest scene, no people and no characters, a wet evening street with streetlights, reflected pavement, a small harmless clue object, and a calm noir mystery mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,Купить билет и назвать остановку,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,"Объяснить, что проехал остановку","casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,"Спросить, как пересесть","casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,Пересказать историю пассажира,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,Обсудить последний рейс и странного пассажира,"casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Captain Grey,"Понять, почему маршрут изменился","casual watercolor style, language-learning quest scene, no people and no characters, the interior of a city bus with an empty driver area, blank route display, ticket machine without text, and soft city light through windows, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Похвалить музыку и дать монету,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Попросить песню,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Описать настроение песни,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Помочь вспомнить часть мелодии словами,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Обсудить семейную историю,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Lila Moon,Помочь подготовить маленький концерт,"casual watercolor style, language-learning quest scene, no people and no characters, a town square music spot with an acoustic guitar on a stand, open case with plain coins, fountain, and warm evening light, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,Оформить читательский билет,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,Описать нужную книгу,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,Пересказать главу,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,Обсудить смысл текста,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,Понять ненадёжного рассказчика,"casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Ada Quill,"Обсудить книгу, которая «выбирает» читателя","casual watercolor style, language-learning quest scene, no people and no characters, a quiet library archive desk with books whose spines are blank, blank cards, reading lamps, and a thoughtful research mood, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,Помочь с обычным бытовым делом,"casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,Обсудить нежелательное внимание,"casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,Выбрать между двумя плохими решениями,"casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,Обсудить цену славы,"casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,Подготовить сложное извинение,"casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
en_ru,Victor North,"Решить, кем он хочет быть теперь","casual watercolor style, language-learning quest scene, no people and no characters, a community center or quiet street with grocery bags, folding chairs, blank notice board, and ordinary helpful task details, clean educational composition, no readable text, no letters, no numbers, no logos, no watermark"
