topic_id;exam;official_area;topic_ru;facts_to_cover_ru;key_terms_es;recommended_cefr_level;target_text_count;generated_text_count;priority;source_ref
T3-010;CCSE;Tarea 3 Organización territorial geografía física y política;Политическое деление;Испания делится на автономные сообщества, провинции и автономные города, нужно знать столицы автономий и провинции в основных регионах;comunidades autónomas|provincias|ciudades autónomas|capitales|mapa político;A1;4;4;high;CCSE Manual 2026 Tarea 3
T3-011;CCSE;Tarea 3 Organización territorial geografía física y política;Andalucía;Провинции Almería, Cádiz, Córdoba, Granada, Huelva, Jaén, Málaga, Sevilla, столица автономии Sevilla;Andalucía|Almería|Cádiz|Córdoba|Granada|Huelva|Jaén|Málaga|Sevilla;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-012;CCSE;Tarea 3 Organización territorial geografía física y política;Aragón;Провинции Huesca, Teruel, Zaragoza, столица автономии Zaragoza, парк Ordesa и Monte Perdido находится в Aragón;Aragón|Huesca|Teruel|Zaragoza|Ordesa y Monte Perdido;A1;2;2;high;CCSE Manual 2026 Tarea 3
T3-013;CCSE;Tarea 3 Organización territorial geografía física y política;Asturias, Cantabria, La Rioja, Madrid, Murcia, Navarra;Это однопровинциальные автономии, столицы Oviedo, Santander, Logroño, Madrid, Murcia, Pamplona, у Navarra статус Comunidad Foral;Asturias|Oviedo|Cantabria|Santander|La Rioja|Logroño|Madrid|Murcia|Navarra|Pamplona;A1;4;4;high;CCSE Manual 2026 Tarea 3
T3-014;CCSE;Tarea 3 Organización territorial geografía física y política;Baleares и Canarias;Baleares находятся в Средиземном море со столицей Palma de Mallorca, Canarias в Атлантике с двумя столицами Las Palmas de Gran Canaria и Santa Cruz de Tenerife;Islas Baleares|mar Mediterráneo|Palma de Mallorca|Canarias|océano Atlántico|Las Palmas|Santa Cruz de Tenerife;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-015;CCSE;Tarea 3 Organización territorial geografía física y política;Castilla-La Mancha;Провинции Albacete, Ciudad Real, Cuenca, Guadalajara, Toledo, столица автономии Toledo, континентальный климат связан с центром Испании;Castilla-La Mancha|Albacete|Ciudad Real|Cuenca|Guadalajara|Toledo;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-016;CCSE;Tarea 3 Organización territorial geografía física y política;Castilla y León;Провинции Ávila, Burgos, León, Palencia, Salamanca, Segovia, Soria, Valladolid, Zamora, официальной столицы нет, административная sede в Valladolid;Castilla y León|Ávila|Burgos|León|Salamanca|Segovia|Valladolid|Zamora;A1;4;4;medium;CCSE Manual 2026 Tarea 3
T3-017;CCSE;Tarea 3 Organización territorial geografía física y política;Cataluña и Comunidad Valenciana;Cataluña включает Barcelona, Girona, Lleida, Tarragona и столицу Barcelona, Comunidad Valenciana включает Alicante, Castellón, Valencia и столицу Valencia;Cataluña|Barcelona|Girona|Lleida|Tarragona|Comunidad Valenciana|Alicante|Castellón|Valencia;A1;4;4;high;CCSE Manual 2026 Tarea 3
T3-018;CCSE;Tarea 3 Organización territorial geografía física y política;Extremadura;Провинции Cáceres и Badajoz, столица Mérida, Monfragüe находится в Cáceres, регион часто встречается в вопросах о провинциях и столицах;Extremadura|Cáceres|Badajoz|Mérida|Monfragüe;A1;2;2;high;CCSE Manual 2026 Tarea 3
T3-019;CCSE;Tarea 3 Organización territorial geografía física y política;Galicia;Провинции A Coruña, Lugo, Ourense, Pontevedra, столица Santiago de Compostela, регион связан с галисийским языком и Camino de Santiago;Galicia|A Coruña|Lugo|Ourense|Pontevedra|Santiago de Compostela|gallego;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-020;CCSE;Tarea 3 Organización territorial geografía física y política;País Vasco;Провинции Álava, Guipúzcoa, Vizcaya, административная sede Vitoria, города San Sebastián и Bilbao важны как столицы провинций;País Vasco|Álava|Vitoria|Guipúzcoa|San Sebastián|Vizcaya|Bilbao|euskera;A1;3;3;high;CCSE Manual 2026 Tarea 3
T3-021;CCSE;Tarea 3 Organización territorial geografía física y política;Ceuta и Melilla;Ceuta и Melilla это автономные города на северном побережье Африки, их нужно отличать от провинций и городов Андалусии;Ceuta|Melilla|ciudades autónomas|norte de África;A1;2;2;high;CCSE Manual 2026 Tarea 3
T4-001;CCSE;Tarea 4 Cultura e historia de España;Периоды литературы;Крупные периоды литературы Испании включают Siglo de Oro XVI-XVII веков и Edad de Plata первой половины XX века;Siglo de Oro|siglos XVI y XVII|Edad de Plata|siglo XX|literatura española;A2;2;0;medium;CCSE Manual 2026 Tarea 4
T4-002;CCSE;Tarea 4 Cultura e historia de España;Cervantes и Don Quijote;Miguel de Cervantes родился в Alcalá de Henares, Don Quijote de la Mancha считается первой современной новеллой, главные персонажи Don Quijote и Sancho Panza;Miguel de Cervantes|Alcalá de Henares|Don Quijote|Sancho Panza|primera novela moderna;A1;3;3;high;CCSE Manual 2026 Tarea 4
T4-003;CCSE;Tarea 4 Cultura e historia de España;Средневековые и универсальные персонажи;Cantar de Mio Cid связан с Rodrigo Díaz de Vivar, Don Juan впервые появляется у Tirso de Molina в El burlador de Sevilla y convidado de piedra;Cantar de Mio Cid|Rodrigo Díaz de Vivar|El Cid|Don Juan|Tirso de Molina;A2;2;0;medium;CCSE Manual 2026 Tarea 4
T4-004;CCSE;Tarea 4 Cultura e historia de España;Siglo de Oro авторы;Lope de Vega и Fuenteovejuna, Calderón de la Barca и La vida es sueño, Lazarillo de Tormes как пикарескный роман, Santa Teresa, San Juan de la Cruz, Garcilaso, Góngora, Quevedo;Lope de Vega|Fuenteovejuna|Calderón|La vida es sueño|Lazarillo de Tormes|Quevedo;A2;5;0;high;CCSE Manual 2026 Tarea 4
T4-005;CCSE;Tarea 4 Cultura e historia de España;Поколения XX века;Generación del 98 включает Machado, Valle-Inclán, Unamuno, Generación de 1914 включает Ortega y Gasset и Clara Campoamor, Generación del 27 включает Lorca, Alberti, María Zambrano, Miguel Hernández, Aleixandre;Generación del 98|Antonio Machado|Unamuno|Ortega y Gasset|Clara Campoamor|Generación del 27|Lorca;A2;5;0;high;CCSE Manual 2026 Tarea 4
T4-006;CCSE;Tarea 4 Cultura e historia de España;Послевоенная литература;Camilo José Cela и La colmena, Carmen Laforet и Nada, Ana María Matute, Miguel Delibes и El camino отражают испанскую послевоенную литературу;Camilo José Cela|La colmena|Carmen Laforet|Nada|Ana María Matute|Miguel Delibes|El camino;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-007;CCSE;Tarea 4 Cultura e historia de España;Литература на других языках Испании;Rosalía de Castro писала на галисийском, Bernardo Atxaga на баскском, Mercè Rodoreda на каталанском, это показывает многоязычное культурное наследие;Rosalía de Castro|Follas Novas|Bernardo Atxaga|Obabakoak|Mercè Rodoreda|La plaça del Diamant;A2;3;0;medium;CCSE Manual 2026 Tarea 4
T4-008;CCSE;Tarea 4 Cultura e historia de España;Современная проза;Eduardo Mendoza, Soledad Puértolas, Antonio Muñoz Molina, Javier Marías, Carlos Ruiz Zafón, María Dueñas, Almudena Grandes, Javier Cercas, Fernando Aramburu, Irene Vallejo, Sara Mesa;Eduardo Mendoza|Muñoz Molina|Javier Marías|Ruiz Zafón|María Dueñas|Almudena Grandes|Irene Vallejo;A2;6;0;medium;CCSE Manual 2026 Tarea 4
T4-009;CCSE;Tarea 4 Cultura e historia de España;Музыка классическая и лирическая;Manuel de Falla написал El amor brujo, Joaquín Rodrigo написал Concierto de Aranjuez, Montserrat Caballé и Ainhoa Arteta сопрано, Alfredo Kraus и Josep Carreras теноры;Manuel de Falla|El amor brujo|Joaquín Rodrigo|Concierto de Aranjuez|Montserrat Caballé|Josep Carreras;A1;4;4;medium;CCSE Manual 2026 Tarea 4
T4-010;CCSE;Tarea 4 Cultura e historia de España;Современная музыка и flamenco;Movida madrileña связана с переходом к современной городской культуре, Serrat, Sabina, Alejandro Sanz, Rosalía, Luz Casal, Enrique Iglesias, flamenco связан с Lola Flores, Camarón, Paco de Lucía, Carmen Amaya, Sara Baras;movida madrileña|Joaquín Sabina|Rosalía|flamenco|Lola Flores|Camarón|Paco de Lucía|Sara Baras;A1;5;5;high;CCSE Manual 2026 Tarea 4
T4-011;CCSE;Tarea 4 Cultura e historia de España;Испанское кино;Luis Buñuel связан с мировым кино и сюрреализмом, также важны Carlos Saura, José Luis Garci, Pilar Miró, Berlanga, Trueba, Almodóvar, Amenábar, Coixet, Carla Simón, Icíar Bollaín;Luis Buñuel|Carlos Saura|José Luis Garci|Pilar Miró|Berlanga|Almodóvar|Amenábar|Isabel Coixet;A2;5;0;high;CCSE Manual 2026 Tarea 4
T4-012;CCSE;Tarea 4 Cultura e historia de España;Актёры и театральные институты;Javier Bardem и Penélope Cruz получили Óscar, также известны Antonio Banderas, Carmen Maura и другие, государственные сцены включают Teatro de la Zarzuela, Centro Dramático Nacional, Compañía Nacional de Teatro Clásico;Javier Bardem|Penélope Cruz|Óscar|Antonio Banderas|Teatro de la Zarzuela|Centro Dramático Nacional;A1;3;3;medium;CCSE Manual 2026 Tarea 4
T4-013;CCSE;Tarea 4 Cultura e historia de España;UNESCO и первые памятники;Испания имеет много объектов Patrimonio de la Humanidad, первые пять в 1984 включали Alhambra и Generalife, Catedral de Burgos, Mezquita de Córdoba, El Escorial, Parque Güell, Palacio Güell и Casa Milà;Patrimonio de la Humanidad|UNESCO|Alhambra|Generalife|Catedral de Burgos|Mezquita de Córdoba|El Escorial|Casa Milà;A2;5;0;high;CCSE Manual 2026 Tarea 4
T4-014;CCSE;Tarea 4 Cultura e historia de España;Другие объекты наследия;Altamira, Acueducto de Segovia, Mérida, Sagrada Familia и Camino de Santiago важны как культурные ориентиры, Camino de Santiago это паломнический маршрут и объект наследия;Altamira|Acueducto de Segovia|Mérida|Sagrada Familia|Camino de Santiago;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-015;CCSE;Tarea 4 Cultura e historia de España;Музеи Испании;Prado и Reina Sofía национальные музеи, также известны Picasso в Barcelona, Thyssen-Bornemisza в Madrid, Guggenheim в Bilbao;Museo del Prado|Museo Reina Sofía|Museo Picasso|Thyssen-Bornemisza|Guggenheim Bilbao;A1;3;3;high;CCSE Manual 2026 Tarea 4
T4-016;CCSE;Tarea 4 Cultura e historia de España;Живопись и произведения;Velázquez Las meninas в Prado, Goya Fusilamientos del 3 de mayo и La maja desnuda в Prado, Sorolla, Miró, Picasso Guernica в Reina Sofía, Dalí, Antonio López, Maruja Mallo La verbena;Velázquez|Las meninas|Goya|La maja desnuda|Sorolla|Miró|Picasso|Guernica|Maruja Mallo;A2;6;0;high;CCSE Manual 2026 Tarea 4
T4-017;CCSE;Tarea 4 Cultura e historia de España;Наука Al-Ándalus и Toledo;В Средневековье Córdoba была центром медицины, философии, математики и астрономии, Averroes и Maimónides важны, Escuela de Traductores de Toledo переносила знания на латинский и кастильский;Al-Ándalus|Córdoba|Averroes|Maimónides|Escuela de Traductores de Toledo;A2;3;0;medium;CCSE Manual 2026 Tarea 4
T4-018;CCSE;Tarea 4 Cultura e historia de España;Современная наука;CSIC крупнейшая публичная исследовательская институция Испании, важны Observatorio del Teide, Observatorio de Calar Alto и центр ESA в Villafranca del Castillo;CSIC|investigación científica|Observatorio del Teide|Calar Alto|ESA|Villafranca del Castillo;A2;3;0;medium;CCSE Manual 2026 Tarea 4
T4-019;CCSE;Tarea 4 Cultura e historia de España;1252 и Toledo;Alfonso X превратил Toledo в центр средневековой культуры, Toledo известен как город трёх культур: христианской, мусульманской и еврейской;Alfonso X el Sabio|Toledo|ciudad de las tres culturas|cristiana|musulmana|judía;A2;2;0;medium;CCSE Manual 2026 Tarea 4
T4-020;CCSE;Tarea 4 Cultura e historia de España;1492 год;В 1492 Colón открыл Америку для Европы, Reyes Católicos взяли Granada, была опубликована первая грамматика кастильского языка;1492|Cristóbal Colón|América|Reyes Católicos|Granada|gramática castellana;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-021;CCSE;Tarea 4 Cultura e historia de España;Первая кругосветка;В 1519 Magallanes и Juan Sebastián Elcano начали первую кругосветную экспедицию, это ключевой факт эпохи испанских открытий;1519|Magallanes|Juan Sebastián Elcano|primera vuelta al mundo;A2;2;0;medium;CCSE Manual 2026 Tarea 4
T4-022;CCSE;Tarea 4 Cultura e historia de España;Испанская империя XVI-XVII;Siglo de Oro империи связан с Carlos I и Felipe II, Carlos I считается первым королём Испании из-за объединения королевств, Felipe II управлял огромными территориями после объединения Испании и Португалии;Carlos I|Felipe II|Imperio español|Siglo de Oro|España y Portugal;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-023;CCSE;Tarea 4 Cultura e historia de España;Guerra de Sucesión;После смерти Carlos II без наследника началась Guerra de Sucesión 1705-1715 между Австрийским домом и Бурбонами, победили Бурбоны, Felipe de Anjou стал Felipe V;Guerra de Sucesión|Carlos II|Austrias|Borbones|Felipe V;A2;2;0;medium;CCSE Manual 2026 Tarea 4
T4-024;CCSE;Tarea 4 Cultura e historia de España;Guerra de Independencia;В 1808-1814 Испания воевала против французского вторжения и José Bonaparte, после войны Fernando VII вернулся на престол;Guerra de Independencia|1808|1814|José Bonaparte|Napoleón|Fernando VII;A2;2;0;high;CCSE Manual 2026 Tarea 4
T4-025;CCSE;Tarea 4 Cultura e historia de España;Desastre del 98;В 1898 Испания и США воевали из-за Кубы, Испания потеряла Кубу, Puerto Rico, Filipinas и Guam, это называют desastre del 98;Guerra de Cuba|desastre del 98|Estados Unidos|Cuba|Puerto Rico|Filipinas|Guam;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-026;CCSE;Tarea 4 Cultura e historia de España;Guerra Civil;Гражданская война 1936-1939 была конфликтом между сторонниками Второй Республики и восставшими военными под руководством национального лагеря;Guerra Civil|1936|1939|II República|republicanos|nacionales;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-027;CCSE;Tarea 4 Cultura e historia de España;Franquismo;После победы в гражданской войне Francisco Franco был главой государства до смерти в 1975, режим характеризовался диктатурой, национализмом, католицизмом и антикоммунизмом;Franquismo|Francisco Franco|1939|1975|dictadura|nacionalismo|catolicismo|anticomunismo;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-028;CCSE;Tarea 4 Cultura e historia de España;Transición;Transición охватывает период от смерти Franco 20 ноября 1975 до выборов октября 1982, ключевая фигура Adolfo Suárez, первые демократические выборы после диктатуры прошли 15 июня 1977;Transición española|20 de noviembre de 1975|1982|Adolfo Suárez|15 de junio de 1977|UCD;A2;4;0;high;CCSE Manual 2026 Tarea 4
T4-029;CCSE;Tarea 4 Cultura e historia de España;Референдум о Конституции и ЕС;6 декабря 1978 состоялся референдум о Конституции, 1 января 1986 Испания вступила в CEE, началась интеграция в европейские институты, Schengen и eurozona;referéndum|6 de diciembre de 1978|CEE|1 de enero de 1986|Schengen|euro;A2;3;0;high;CCSE Manual 2026 Tarea 4
T4-030;CCSE;Tarea 4 Cultura e historia de España;1992 год и 2014;В 1992 прошли Олимпиада в Barcelona, Expo в Sevilla, Madrid была культурной столицей Европы, открыт AVE, в 2014 Felipe VI стал королём;Barcelona 1992|Expo Sevilla|Madrid Capital Europea de la Cultura|AVE|Felipe VI|2014;A2;3;0;medium;CCSE Manual 2026 Tarea 4
T4-031;CCSE;Tarea 4 Cultura e historia de España;Фольклор;Jota распространена почти по всей Испании, flamenco особенно связан с Andalucía и признан ЮНЕСКО нематериальным наследием в 2010, sardana в Cataluña, muñeira в Galicia, sevillanas в Andalucía;jota|flamenco|Andalucía|Patrimonio Inmaterial|sardana|muñeira|sevillanas;A1;4;4;high;CCSE Manual 2026 Tarea 4
T4-032;CCSE;Tarea 4 Cultura e historia de España;Фольклорные инструменты;Типичные инструменты испанского фольклора включают guitarra, castañuelas, gaita, dulzaina, acordeón, txistu и tamboril;guitarra|castañuelas|gaita|dulzaina|acordeón|txistu|tamboril;A1;2;2;medium;CCSE Manual 2026 Tarea 4
T4-033;CCSE;Tarea 4 Cultura e historia de España;Navidad и Año Nuevo;Navidades с 24 декабря по 6 января, Nochebuena 24 декабря, Nochevieja 31 декабря с 12 виноградинами, Reyes Magos 6 января, символы belén и árbol;Navidad|Nochebuena|Nochevieja|12 uvas|Reyes Magos|belén|árbol de Navidad;A1;4;4;high;CCSE Manual 2026 Tarea 4
T4-034;CCSE;Tarea 4 Cultura e historia de España;Carnavales, Fallas, Semana Santa;Carnavales особенно известны в Tenerife и Cádiz, Fallas de Valencia в марте к San José, Semana Santa в марте или апреле, особенно известна в Andalucía;Carnavales|Tenerife|Cádiz|Fallas de Valencia|San José|Semana Santa|Andalucía;A1;4;4;high;CCSE Manual 2026 Tarea 4
T4-035;CCSE;Tarea 4 Cultura e historia de España;Sant Jordi, Rocío, San Juan;Sant Jordi 23 апреля в Cataluña и Baleares с книгами и розами, Romería del Rocío около мая в Almonte, Noche de San Juan 23-24 июня с кострами;Sant Jordi|23 de abril|rosas|libros|Romería del Rocío|Almonte|Noche de San Juan|hogueras;A1;4;4;high;CCSE Manual 2026 Tarea 4
T4-036;CCSE;Tarea 4 Cultura e historia de España;Sanfermines и Tomatina;Sanfermines проходят в июле в Pamplona с белой одеждой, красным платком и encierros, Tomatina проходит в последний miércoles августа в Buñol;Sanfermines|Pamplona|encierros|pañuelo rojo|Tomatina|Buñol|último miércoles de agosto;A1;3;3;high;CCSE Manual 2026 Tarea 4
T4-037;CCSE;Tarea 4 Cultura e historia de España;Культурные премии и события;Premios Princesa de Asturias продвигают научные, культурные и гуманистические ценности, Premio Cervantes награждает литературу на испанском, Premio Nacional de las Letras награждает испанских писателей на языках Испании;Premios Princesa de Asturias|Premio Cervantes|Premio Nacional de las Letras|literatura;A2;3;0;medium;CCSE Manual 2026 Tarea 4
T4-038;CCSE;Tarea 4 Cultura e historia de España;Книги, кино и театр;Día del Libro 23 апреля связан с Cervantes, Shakespeare и Inca Garcilaso, Goya награждает кино, известны фестивали San Sebastián, Sitges, Málaga, Valladolid, ARCO проходит в Madrid;Día del Libro|23 de abril|Premios Goya|San Sebastián|Sitges|Málaga|Valladolid|ARCO;A2;4;0;medium;CCSE Manual 2026 Tarea 4
T4-039;CCSE;Tarea 4 Cultura e historia de España;Испанские Нобелевские лауреаты;Нужно знать имена Echegaray, Ramón y Cajal, Benavente, Juan Ramón Jiménez, Severo Ochoa, Vicente Aleixandre, Camilo José Cela, Mario Vargas Llosa и области литературы или медицины;José Echegaray|Ramón y Cajal|Jacinto Benavente|Juan Ramón Jiménez|Severo Ochoa|Vicente Aleixandre|Cela|Vargas Llosa;A2;5;0;medium;CCSE Manual 2026 Tarea 4
T4-040;CCSE;Tarea 4 Cultura e historia de España;Спорт;Популярны Liga и Copa del Rey по футболу и баскетболу, Vuelta ciclista a España, известны Nadal, Alcaraz, Gasol, Sainz, Márquez, Induráin, Belmonte, Marín, Perales и паралимпийские чемпионы;Liga|Copa del Rey|Vuelta a España|Rafael Nadal|Carlos Alcaraz|Pau Gasol|Miguel Induráin|Teresa Perales;A1;5;5;medium;CCSE Manual 2026 Tarea 4
T5-001;CCSE;Tarea 5 Sociedad española;Имена и фамилии;В Испании у человека обычно одно простое или составное имя и две фамилии, родители могут выбрать порядок фамилий, первая может быть от матери или отца;nombre|apellido|dos apellidos|padre|madre|orden de apellidos;A0;2;2;high;CCSE Manual 2026 Tarea 5
T5-002;CCSE;Tarea 5 Sociedad española;DNI, NIF и паспорт;DNI обязателен для испанцев старше 14 лет, номер DNI с буквой также служит NIF, паспорт нужен для поездок в страны вне ЕС или Schengen;DNI|14 años|NIF|pasaporte|Unión Europea|Schengen;A1;3;3;high;CCSE Manual 2026 Tarea 5
T5-003;CCSE;Tarea 5 Sociedad española;Registro Civil и семейные документы;Libro de familia постепенно заменяется индивидуальным электронным реестром с 1 мая 2021, Registro Civil оформляет рождения, браки, разводы и гражданство, certificado de nacimiento показывает место и дату рождения;libro de familia|registro electrónico individual|1 de mayo de 2021|Registro Civil|certificado de nacimiento|nacionalidad;A2;4;0;high;CCSE Manual 2026 Tarea 5
T5-004;CCSE;Tarea 5 Sociedad española;Seguridad Social и vida laboral;Номер Seguridad Social получают при начале работы и взносах, informe de vida laboral показывает стаж, работодателей, даты и типы контрактов;Número de la Seguridad Social|cotizar|informe de vida laboral|contratos|trayectoria profesional;A2;2;0;high;CCSE Manual 2026 Tarea 5
T5-005;CCSE;Tarea 5 Sociedad española;Tarjeta sanitaria;Tarjeta sanitaria нужна для доступа к публичной медицине, оформляется в центре здоровья по месту жительства;tarjeta sanitaria|sanidad pública|centro de salud|domicilio;A1;2;2;high;CCSE Manual 2026 Tarea 5
T5-006;CCSE;Tarea 5 Sociedad española;Carné de conducir;Водительские права получают с 18 лет, нужны теоретический и практический экзамены, психофизическая пригодность, документ личности и фото, выдаёт DGT;carné de conducir|18 años|examen teórico|examen práctico|DGT|aptitud psicofísica;A1;3;3;high;CCSE Manual 2026 Tarea 5
T5-007;CCSE;Tarea 5 Sociedad española;Empadronamiento;Certificado de empadronamiento подтверждает место проживания, оформляется в ayuntamiento при подтверждении жилья и предоставлении документа личности;certificado de empadronamiento|residencia|ayuntamiento|vivienda|documento de identidad;A1;2;2;high;CCSE Manual 2026 Tarea 5
T5-008;CCSE;Tarea 5 Sociedad española;Данные в документах;Официальные документы обычно содержат имя и фамилии, DNI или NIE или паспорт, пол, domicilio, почтовый код, местность, провинцию, место и дату рождения;nombre y apellidos|DNI|NIE|pasaporte|sexo|domicilio|código postal|fecha de nacimiento;A1;2;2;medium;CCSE Manual 2026 Tarea 5
T5-009;CCSE;Tarea 5 Sociedad española;TIE и сроки гражданства;Иностранцы для легального проживания получают TIE, общий срок гражданства 10 лет, для беженцев 5, для ибероамериканских стран, Andorra, Filipinas, Guinea Ecuatorial, Portugal и sefardíes 2, в особых случаях 1;TIE|residencia legal|10 años|5 años|2 años|1 año|nacionalidad española;B1;4;0;high;CCSE Manual 2026 Tarea 5
T5-010;CCSE;Tarea 5 Sociedad española;Где оформляют документы;Registro Civil занимается рождением, браком, разводом и гражданством, comisaría de policía оформляет DNI, TIE и pasaporte, centro de salud оформляет tarjeta sanitaria;Registro Civil|comisaría de policía|DNI|TIE|pasaporte|centro de salud|tarjeta sanitaria;A2;3;0;high;CCSE Manual 2026 Tarea 5
T5-011;CCSE;Tarea 5 Sociedad española;Брак и типы семьи;Браки могут быть гражданскими и религиозными, разрешён брак людей одного пола, можно зарегистрировать pareja de hecho, monoparental это один родитель с детьми, numerosa от трёх детей;matrimonio civil|matrimonio religioso|mismo sexo|pareja de hecho|familia monoparental|familia numerosa;A1;4;4;high;CCSE Manual 2026 Tarea 5
T5-012;CCSE;Tarea 5 Sociedad española;Развод и семейные права;Развод разрешён, custody и экономическая ответственность регулируются, есть отпуска по рождению или усыновлению, lactancia и сокращение рабочего дня для ухода за детьми;divorcio|custodia|responsabilidad económica|permiso por nacimiento|adopción|lactancia|reducción de jornada;A2;3;0;medium;CCSE Manual 2026 Tarea 5
T5-013;CCSE;Tarea 5 Sociedad española;Жильё;Самый распространённый тип жилья квартира в многоквартирном доме, есть chalé и adosado, около 75 процентов жилья в собственности, около 25 процентов в аренде;vivienda|piso|chalé|casa adosada|propiedad|alquiler;A1;3;3;high;CCSE Manual 2026 Tarea 5
T5-014;CCSE;Tarea 5 Sociedad española;Аренда и VPO;Аренда регулируется договором с длительностью, ценой и обязанностями, обычно вносится fianza, vivienda de protección oficial имеет ограниченную цену и поддержку администрации;contrato de alquiler|arrendador|inquilino|fianza|vivienda de protección oficial;A2;3;0;medium;CCSE Manual 2026 Tarea 5
T5-015;CCSE;Tarea 5 Sociedad española;Comunidad de vecinos;В соседском сообществе нужно платить gastos de comunidad, не шуметь особенно после 22:00, сортировать мусор и беречь общие пространства;comunidad de vecinos|gastos de comunidad|ruidos|22:00|reciclar basura|espacios comunes;A1;2;2;medium;CCSE Manual 2026 Tarea 5
T5-016;CCSE;Tarea 5 Sociedad española;Домашние животные;Собаки и кошки обычно регистрируются с microchip, нужны вакцинация, ветеринарные проверки, для собак seguro de responsabilidad civil, хозяева убирают экскременты и соблюдают правила выгула;animales domésticos|microchip|vacunación|veterinario|seguro de responsabilidad civil|correa|bozal;A2;3;0;medium;CCSE Manual 2026 Tarea 5
T5-017;CCSE;Tarea 5 Sociedad española;Гастрономия базовая;Известные блюда и напитки: paella, tortilla de patatas, churros, gazpacho, sangría, aceite de oliva, jamón ibérico, turrón, mazapán, roscón de Reyes, torrijas, vino, cava, sidra;paella|tortilla de patatas|churros|gazpacho|sangría|aceite de oliva|jamón|cava|sidra;A0;5;5;high;CCSE Manual 2026 Tarea 5
T5-018;CCSE;Tarea 5 Sociedad española;Denominaciones de origen;La Rioja, Ribera del Duero и Jerez известны по винам, Asturias по sidra, Cataluña по cava, Andalucía и Castilla-La Mancha по aceite de oliva, Extremadura, Andalucía и Castilla y León по productos ibéricos;La Rioja|Ribera del Duero|Jerez|Asturias|sidra|Cataluña|cava|Andalucía|aceite de oliva;A1;4;4;medium;CCSE Manual 2026 Tarea 5
T5-019;CCSE;Tarea 5 Sociedad española;Приёмы пищи и ресторан;Обычно завтрак 7:30-8:30, comida 14:00-15:30, cena 21:00-22:00, tapas, pinchos, raciones, plato combinado, menú del día и a la carta;desayuno|comida|cena|tapa|pincho|ración|menú del día|a la carta;A0;4;4;high;CCSE Manual 2026 Tarea 5
T5-020;CCSE;Tarea 5 Sociedad española;Праздничный календарь;Рабочий календарь имеет 14 праздничных дней, основные даты включают 1 января, 6 января, Viernes Santo, 1 мая, 15 августа, 12 октября, 1 ноября, 6 декабря, 8 декабря, 25 декабря;calendario laboral|14 festivos|Año Nuevo|Día de Reyes|Viernes Santo|Día del Trabajo|Fiesta Nacional|Navidad;A1;5;5;high;CCSE Manual 2026 Tarea 5
T5-021;CCSE;Tarea 5 Sociedad española;Время и расписания;Испания живёт по GMT/UTC плюс 1 зимой и плюс 2 летом, на Канарах на час меньше, многие магазины открыты примерно 10:00-20:00, малый бизнес часто закрыт по воскресеньям;GMT|UTC|Canarias|una hora menos|horarios comerciales|domingo cerrado;A1;3;3;medium;CCSE Manual 2026 Tarea 5
T5-022;CCSE;Tarea 5 Sociedad española;Школьное образование;Школьный календарь с сентября по июнь, образование обязательно и бесплатно с 6 до 16, Infantil не обязательна и имеет циклы 0-3 и 3-6, Primaria 6-12, ESO 12-16;calendario escolar|septiembre|junio|Educación Infantil|Primaria|ESO|6 a 16 años;A1;4;4;high;CCSE Manual 2026 Tarea 5
T5-023;CCSE;Tarea 5 Sociedad española;Bachillerato и FP;Bachillerato длится 2 курса и обычно 16-18 лет, Formación Profesional может быть básica, grado medio и grado superior, Grado Medio даёт título de Técnico, Grado Superior título de Técnico Superior;Bachillerato|Formación Profesional|FP Básica|Grado Medio|Grado Superior|Técnico|Técnico Superior;A2;4;0;high;CCSE Manual 2026 Tarea 5
T5-024;CCSE;Tarea 5 Sociedad española;Университет и EOI;Для университета нужен Bachillerato или FP superior и PAU, университет включает Grado, Máster и Doctorado, EOI учит языки и принимает обычно с 16 лет;Universidad|PAU|Grado|Máster|Doctorado|tesis doctoral|Escuela Oficial de Idiomas|16 años;A2;4;0;high;CCSE Manual 2026 Tarea 5
T5-025;CCSE;Tarea 5 Sociedad española;Типы школ;Públicos финансируются администрацией и бесплатны, concertados частные с публичной субсидией, privados финансируются семьями;centro público|centro concertado|centro privado|Administración pública|subvención|familias;A1;3;3;high;CCSE Manual 2026 Tarea 5
T5-026;CCSE;Tarea 5 Sociedad española;Образование взрослых и библиотеки;CEPA помогают людям старше 18 получить ESO или подготовиться к доступу в университет старше 25, публичные библиотеки бесплатны и дают книги, wifi, компьютеры и места для учёбы;CEPA|personas adultas|18 años|mayores de 25|bibliotecas públicas|préstamo|wifi;A1;3;3;medium;CCSE Manual 2026 Tarea 5
